fecha,semana_iso,anio,bloque,camas,bomba_id,tanques,litros,operario,motivo,fuente,notas
2026-07-03,27,2026,SIN_DATO,,CHOQUE-BO,,,Wilson,Focos activos de oidio,aplicaciones_historial.csv,"La fila original dice Destino='idem', que no permite cruzar. HAY QUE PREGUNTAR EN QUE BLOQUES SE APLICO. Es el ejemplo de por que este archivo existe aparte del historial"
2026-09-16,38,2026,3B,1 cama,DRENCH-CHIZA,1,25,SIN_DATO,Chiza - 1a aplicacion drench. Cama de 3B. Inv 4 (3 camas) pendiente de saber si es 4A/4B/4C,motor/bomba.py registrar,
2026-09-22,39,2026,2,,CHOQUE-BO,,,,"Reinicio rotacion - 12 sem sin bomba foliar (choque, etapa cosecha+preflor)",motor/bomba.py registrar,
2026-09-22,39,2026,3A,,CHOQUE-BO,,,,"Reinicio rotacion - 12 sem sin bomba foliar (choque, etapa cosecha+preflor)",motor/bomba.py registrar,
2026-09-22,39,2026,3B,,CHOQUE-BO,,,,"Reinicio rotacion - 12 sem sin bomba foliar (choque, etapa cosecha+preflor)",motor/bomba.py registrar,
2026-09-22,39,2026,3C,,CHOQUE-BO,,,,"Reinicio rotacion - 12 sem sin bomba foliar (choque, etapa cosecha+preflor)",motor/bomba.py registrar,
2026-09-22,39,2026,4A,,CHOQUE-BO,,,,"Reinicio rotacion - 12 sem sin bomba foliar (choque, etapa cosecha+preflor)",motor/bomba.py registrar,
2026-09-22,39,2026,4B,,CHOQUE-BO,,,,"Reinicio rotacion - 12 sem sin bomba foliar (choque, etapa cosecha+preflor)",motor/bomba.py registrar,
2026-09-22,39,2026,4C,,CHOQUE-BO,,,,"Reinicio rotacion - 12 sem sin bomba foliar (choque, etapa cosecha+preflor)",motor/bomba.py registrar,
2026-09-22,39,2026,5,,CHOQUE-BO,,,,"Reinicio rotacion - 12 sem sin bomba foliar (choque, etapa cosecha+preflor)",motor/bomba.py registrar,
2026-09-22,39,2026,6,,CHOQUE-BO,,,,"Reinicio rotacion - 12 sem sin bomba foliar (choque, etapa cosecha+preflor)",motor/bomba.py registrar,
2026-09-22,39,2026,Ext 6,,CHOQUE-BO,,,,"Reinicio rotacion - 12 sem sin bomba foliar (choque, etapa cosecha+preflor)",motor/bomba.py registrar,
2026-09-22,39,2026,Mini,,CHOQUE-BO,,,,"Reinicio rotacion - 12 sem sin bomba foliar (choque, etapa cosecha+preflor)",motor/bomba.py registrar,
2026-09-22,39,2026,2,,VEG,,,,"Reinicio rotacion - 12 sem sin bomba foliar (microorganismos, etapa desarrollo+vegetativo)",motor/bomba.py registrar,
2026-09-22,39,2026,3A,,VEG,,,,"Reinicio rotacion - 12 sem sin bomba foliar (microorganismos, etapa desarrollo+vegetativo)",motor/bomba.py registrar,
2026-09-22,39,2026,3B,,VEG,,,,"Reinicio rotacion - 12 sem sin bomba foliar (microorganismos, etapa desarrollo+vegetativo)",motor/bomba.py registrar,
2026-09-22,39,2026,3C,,VEG,,,,"Reinicio rotacion - 12 sem sin bomba foliar (microorganismos, etapa desarrollo+vegetativo)",motor/bomba.py registrar,
2026-09-22,39,2026,4A,,VEG,,,,"Reinicio rotacion - 12 sem sin bomba foliar (microorganismos, etapa desarrollo+vegetativo)",motor/bomba.py registrar,
2026-09-22,39,2026,4B,,VEG,,,,"Reinicio rotacion - 12 sem sin bomba foliar (microorganismos, etapa desarrollo+vegetativo)",motor/bomba.py registrar,
2026-09-22,39,2026,4C,,VEG,,,,"Reinicio rotacion - 12 sem sin bomba foliar (microorganismos, etapa desarrollo+vegetativo)",motor/bomba.py registrar,
2026-09-22,39,2026,5,,VEG,,,,"Reinicio rotacion - 12 sem sin bomba foliar (microorganismos, etapa desarrollo+vegetativo)",motor/bomba.py registrar,
2026-09-22,39,2026,6,,VEG,,,,"Reinicio rotacion - 12 sem sin bomba foliar (microorganismos, etapa desarrollo+vegetativo)",motor/bomba.py registrar,
2026-09-22,39,2026,Ext 3A,,VEG,,,,"Reinicio rotacion - 12 sem sin bomba foliar (microorganismos, etapa desarrollo+vegetativo)",motor/bomba.py registrar,
2026-09-22,39,2026,Ext 3B,,VEG,,,,"Reinicio rotacion - 12 sem sin bomba foliar (microorganismos, etapa desarrollo+vegetativo)",motor/bomba.py registrar,
2026-09-22,39,2026,Ext 6,,VEG,,,,"Reinicio rotacion - 12 sem sin bomba foliar (microorganismos, etapa desarrollo+vegetativo)",motor/bomba.py registrar,
2026-09-22,39,2026,Mini,,VEG,,,,"Reinicio rotacion - 12 sem sin bomba foliar (microorganismos, etapa desarrollo+vegetativo)",motor/bomba.py registrar,
2026-09-22,39,2026,3B,,REFUERZO-MOSCA,,,,Refuerzo mosca blanca en matricaria (Safer Mix WP),motor/bomba.py registrar,
2026-09-22,39,2026,4A,,REFUERZO-MOSCA,,,,Refuerzo mosca blanca en matricaria (Safer Mix WP),motor/bomba.py registrar,
2026-09-22,39,2026,4B,,REFUERZO-MOSCA,,,,Refuerzo mosca blanca en matricaria (Safer Mix WP),motor/bomba.py registrar,
2026-09-22,39,2026,5,,REFUERZO-MOSCA,,,,Refuerzo mosca blanca en matricaria (Safer Mix WP),motor/bomba.py registrar,
2026-09-23,39,2026,3B,camas de boca de dragon (N por bloque SIN_DATO),DRENCH-CHIZA,,,,Chiza - drench Raxter Mix SC en bocas de dragon,motor/bomba.py registrar,"Vanessa 2026-09-23: 2 kg de Raxter en 2.000 L totales entre 3B+4A+4B, a 200 L por cama y 1 cc/L = 200 cc por cama, ~10 camas en total (reparto por bloque SIN_DATO). DOSIS 4x LA ETIQUETA (50 cc/cama). Se gasto todo el producto: no queda para la repeticion de los 15 dias (~2026-10-07). Litros por bloque pendientes: 2.000 L es el total de los tres."
2026-09-23,39,2026,4A,camas de boca de dragon (N por bloque SIN_DATO),DRENCH-CHIZA,,,,Chiza - drench Raxter Mix SC en bocas de dragon,motor/bomba.py registrar,"Vanessa 2026-09-23: 2 kg de Raxter en 2.000 L totales entre 3B+4A+4B, a 200 L por cama y 1 cc/L = 200 cc por cama, ~10 camas en total (reparto por bloque SIN_DATO). DOSIS 4x LA ETIQUETA (50 cc/cama). Se gasto todo el producto: no queda para la repeticion de los 15 dias (~2026-10-07). Litros por bloque pendientes: 2.000 L es el total de los tres."
2026-09-23,39,2026,4B,camas de boca de dragon (N por bloque SIN_DATO),DRENCH-CHIZA,,,,Chiza - drench Raxter Mix SC en bocas de dragon,motor/bomba.py registrar,"Vanessa 2026-09-23: 2 kg de Raxter en 2.000 L totales entre 3B+4A+4B, a 200 L por cama y 1 cc/L = 200 cc por cama, ~10 camas en total (reparto por bloque SIN_DATO). DOSIS 4x LA ETIQUETA (50 cc/cama). Se gasto todo el producto: no queda para la repeticion de los 15 dias (~2026-10-07). Litros por bloque pendientes: 2.000 L es el total de los tres."
